No;Provinsi;Tahun;Wilayah;Satuan;Fisik;Psikis;Seksual;Eksploitasi;TPPO;Penelantaran;Lainnya;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
165;Jawa Timur;2023;KABUPATEN TRENGGALEK;Orang;5;3;1;0;0;4;1;9;9
166;Jawa Timur;2023;KABUPATEN TULUNGAGUNG;Orang;3;6;3;1;1;1;2;16;16
167;Jawa Timur;2023;KABUPATEN BLITAR;Orang;10;13;4;1;0;3;6;23;23
168;Jawa Timur;2023;KABUPATEN KEDIRI;Orang;16;1;3;0;0;1;0;19;19
169;Jawa Timur;2023;KABUPATEN MALANG;Orang;20;34;14;1;5;10;4;49;53
170;Jawa Timur;2023;KABUPATEN LUMAJANG;Orang;3;5;2;0;0;0;20;11;27
171;Jawa Timur;2023;KABUPATEN JEMBER;Orang;15;65;27;0;0;3;1;66;66
172;Jawa Timur;2023;KABUPATEN BANYUWANGI;Orang;78;11;8;4;0;3;7;107;107
173;Jawa Timur;2023;KABUPATEN BONDOWOSO;Orang;7;2;1;0;0;5;0;13;13
174;Jawa Timur;2023;KABUPATEN SITUBONDO;Orang;27;7;6;1;4;7;3;47;47
175;Jawa Timur;2023;KABUPATEN PROBOLINGGO;Orang;5;4;0;0;0;0;1;6;6
176;Jawa Timur;2023;KABUPATEN PASURUAN;Orang;13;1;4;3;4;2;2;25;28
177;Jawa Timur;2023;KABUPATEN SIDOARJO;Orang;41;65;11;2;0;27;11;95;95
178;Jawa Timur;2023;KABUPATEN MOJOKERTO;Orang;23;6;1;2;0;4;3;37;39
179;Jawa Timur;2023;KABUPATEN JOMBANG;Orang;7;2;1;0;0;5;11;22;22
180;Jawa Timur;2023;KABUPATEN NGANJUK;Orang;12;25;4;1;0;9;3;31;31
181;Jawa Timur;2023;KABUPATEN MADIUN;Orang;2;0;4;0;0;0;1;7;7
182;Jawa Timur;2023;KABUPATEN MAGETAN;Orang;2;3;1;0;0;0;1;4;4
183;Jawa Timur;2023;KABUPATEN NGAWI;Orang;6;1;2;0;0;2;0;10;10
184;Jawa Timur;2023;KABUPATEN BOJONEGORO;Orang;3;3;2;0;0;4;1;10;11
185;Jawa Timur;2023;KABUPATEN TUBAN;Orang;11;0;1;0;0;0;0;12;12
186;Jawa Timur;2023;KABUPATEN LAMONGAN;Orang;4;3;1;0;0;0;2;7;7
187;Jawa Timur;2023;KABUPATEN GRESIK;Orang;49;32;3;0;0;7;2;67;67
188;Jawa Timur;2023;KABUPATEN BANGKALAN;Orang;4;3;7;0;0;0;1;11;12
189;Jawa Timur;2023;KABUPATEN SAMPANG;Orang;6;2;4;0;0;0;2;14;14
190;Jawa Timur;2023;KABUPATEN PAMEKASAN;Orang;23;2;6;1;0;9;0;38;38
191;Jawa Timur;2023;KABUPATEN SUMENEP;Orang;3;4;2;0;0;2;2;6;6
192;Jawa Timur;2023;KOTA KEDIRI;Orang;5;2;0;0;0;1;0;5;5
193;Jawa Timur;2023;KOTA BLITAR;Orang;0;0;0;0;0;1;2;3;3
194;Jawa Timur;2023;KOTA MALANG;Orang;12;11;4;1;0;3;4;26;26
195;Jawa Timur;2023;KOTA PROBOLINGGO;Orang;14;7;3;0;1;3;1;24;24
196;Jawa Timur;2023;KOTA PASURUAN;Orang;3;4;2;0;0;0;0;5;5
197;Jawa Timur;2023;KOTA MOJOKERTO;Orang;6;3;0;0;0;0;2;9;9
198;Jawa Timur;2023;KOTA MADIUN;Orang;2;2;1;0;0;2;1;7;7
199;Jawa Timur;2023;KOTA SURABAYA;Orang;63;29;14;0;0;16;2;112;116
200;Jawa Timur;2023;KOTA BATU;Orang;7;11;2;3;0;7;1;14;14
201;Jawa Tengah;2024;KABUPATEN CILACAP;Orang;4;0;4;0;0;0;0;8;8
202;Jawa Tengah;2024;KABUPATEN BANYUMAS;Orang;29;40;20;2;0;6;2;60;60
203;Jawa Tengah;2024;KABUPATEN PURBALINGGA;Orang;11;7;8;0;0;1;3;28;29
204;Jawa Tengah;2024;KABUPATEN BANJARNEGARA;Orang;5;8;6;0;0;1;0;20;20
205;Jawa Tengah;2024;KABUPATEN KEBUMEN;Orang;43;10;14;0;0;1;1;66;68
206;Jawa Tengah;2024;KABUPATEN PURWOREJO;Orang;13;22;7;0;0;4;3;39;39
207;Jawa Tengah;2024;KABUPATEN WONOSOBO;Orang;17;46;10;0;0;11;1;49;49
208;Jawa Tengah;2024;KABUPATEN MAGELANG;Orang;16;36;8;0;0;2;0;36;38
